Text,Mood
i just feel so frustrated not knowing what to do at all putting a smile isnt gonna help anymore,anger
i am thankful for the safety of my loved ones and the loved ones of my friends here i am guilty for feeling so i am selfish and i am deeply saddened that there are people back home who cannot say the same,anger
i was feeling dangerous and i also put on heels too guys,anger
i feel the more frustrated im becoming,anger
i feel they respect me more when they aren t replying with a bitchy sorry i didn t get that,anger
i feel like he gets mad at me for the smallest things and he doesnt see it,anger
i dont like things in absolute and i get freaked out when i feel and or know that people are being insincere,anger
i says he wont let em interfer with us but i kno that itll hurt his feelings if one of em is rude to him,anger
im feeling cranky,anger
i haven t experienced many others wanting to butt in or feeling jealous about it,anger
im still good that whenever i feel irritated i just ignore her and walk away,anger
i feel dissatisfied with myself at this particular moment,anger
i feel generally irritable and uncomfortable in my own skin at night in bed which has had a negative effect on my sleeping patterns,anger
i also feel frustrated for the ways in which it is making my life more difficult in the short term and for the inconvenience of it,anger
i want to tell my teacher i feel that you were selfish to put your need to do whatever you did that was wrong above the needs of all your students who relied on you,anger
when i talked with a teacher yesterday who,anger
i know october is about fall and pumpkins and upcoming holidays but i m feeling rebellious so want to talk about something completely off season and out of my comfort zone,anger
im also feeling very bitter,anger
id feel rude just saying no to it outright so i work around the pastry,anger
i feel betrayed by joss heartsickened by spoilers infuriated by the spuffy shippers and i didnt even know what a shipper was back then,anger
i have been feeling grumpy for the past few days and i just dont feel like being my upbeat self here on my blog,anger
i am a bit more calm id like to express those same feelings but in a less bitchy manor,anger
i feel a bit annoyed with myself,anger
i apologized to her if my manner of expressing my feeling offended her in any way,anger
i didn t feel annoyed at all,anger
i feel bitter towards a friend that i shouldn t i feel bad for it but at the same time i become so reserved when i m around her that i don t want to be,anger
i am feeling excessively cranky immature despondent and writers blocked that what i do is pretty amazing,anger
i feel selfish for praying through things,anger
i didnt immediately feel offended but as the night wore on and i was talking with tay it kinda just sunk in that someone who claims to love me and pours his heart out to me someone with whom i share so much of my life finds it despicable and is offended by the idea of dating me,anger
i cant insult the koran or muhammad as an insult always requires the insulted person to feel insulted,anger
i feel so selfish,anger
im feeling extremely mad at myself for not being done,anger
i remember feeling furious with my parents for being so na ve on a situation,anger
i don t know about other self professed liberals but i feel like i have been fucked and didn t even get a decent meal for my troubles,anger
i really feel like talking violent as fuck,anger
i don t want to feel stressed and i don t want you to feel like you re impinging on me so could we work out a schedule for study time together time alone time while you re between assignments,anger
i don t feel agitated or sad,anger
i am not easily angered or critical feeling a little grumpy,anger
i feel so hateful toward certain people,anger
a close person lied to me,anger
i think i know how bat feels when we got together because in that situation i was the wronged party the one who had been hurt by his callous behavior,anger
