Text,Mood
i woke up today feeling pissed off,anger
her mother would be cross and he would feel stu,anger
i was expecting to say this is a very bittersweet feeling but all im feeling is bitter,anger
i was in i could feel him and i hated the drawn tight feeling i had,anger
a study visit to a chicken factory the butchery,anger
it was a revelation after the pain of trotting and nails was cross when nutty brought it to an ,anger
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,anger
i found myself feeling so angry,anger
im feeling every bit the spiteful vindictive bitch i can be at times,anger
i feel like taking a whack at someone s eye and spitting on it a cranky old lady i try to cheer myself up,anger
i still feel like the debate was vicious on both sides,anger
i feel your pulse against my lips as i chase the dragon suck your lips and is your heart and tongue wish begging for my part and fingers translate your sorrow as you reach inside my soul angered in my breath of mercy the story will no unfold,anger
i didnt think that it would come that fast or would come at all but i suppose it is because i feel cranky today,anger
i love it so much it adds just the right about of edge when im feeling rebellious,anger
the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course,anger
i feel like the nytimes publishes an article like this every year or so and each time we get pissed and feisty quick to lash out with a slew of offended and defensive responses,anger
i try to speak up stand up for myself or simply try to insert myself into a conversation i feel selfish like an attention whore,anger
lucien made a small  indignant sound  his arms flailing before he recovered his po,anger
i dont know if he ever cheated on me but it does looked like it cause he has known her for years and i appear in his life around that time and it makes me feel mad,anger
i feel offended when friends especially married friends somehow judge me for not being married yet,anger
when people harrass me i feel oppressed by their behavior,anger
i didnt feel as obnoxious as before when i didnt feel like doing anything but sulk,anger
i listen to it i feel all rebellious,anger
ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger
im feeling cranky a href http doingaone eighty,anger
ive also been feeling somewhat emo irritable lately,anger
i feel bitter to see what i ve become,anger
why ever did he bother to write them out  the landlady asked  gravely vexed and insul,anger
i feel like i m on the receiving end of a violent attack,anger
having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,anger
as in sadness a,anger
i often feel offended by life,anger
i was feeling stressed or run down to support the immune system,anger
i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger
lucy sent him a resentful glance while adding an explanation for her prese,anger
he sifted  somewhat peeved  through the remaining unopened m,anger
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,anger
i feel like im so enraged,anger
i have a feeling the dragon will be back again the reason he became what he is now is also to protect the demons from being despised or harmed by humans,anger
i am feeling that bitter sweetness that comes from a deep recess in my soul,anger
i began to feel bitter towards them,anger
his granddaughter s anger  so like his own  took some of the sting out of ballater s wr,anger
i know why you are angry at me and you have every right to feel those angry perhaps even hateful feelings for me,anger
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
i should feel complimented or insulted,anger
i feel only a little agitated right now,anger
i feel but not to such a hostile extent,anger
i was trapped in the mall and was starting to feel like a mallrat and i hated it,anger
i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated,anger
i know the pain parents feel when an enraged child becomes violent,anger
i typically respond when i feel offended,anger
i was feeling rebellious because of what was happening to us as a family,anger
a vexed expression crossed louise s pretty f,anger
i am feeling a little grumpy but that could be pms too,anger
i feel angry im happy,anger
i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger
i know i feel personally offended by this on so many levels,anger
im not sure how i feel about him yet he seemed kind of distracted and out of it but we decided wed give him until the end of the week to prove himself to us,anger
i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often,anger
i tried to build up layer after layer of pencil to obtain definition and again i was left feeling dissatisfied,anger
i hunger for anything i feel ferocious like a tiger,anger
i feel when i mad at you,anger
i am less in shock and currently feeling insulted about being hung out to dry this past weekend burning his things seems a pretty fair rewards for my unappreciated grace under pressure,anger
i feel it is dangerous especially for the new believer who is not grounded in the word of god,anger
i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,anger
he was angry about class  hypocrisy and the establishm,anger
i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder,anger
i feel obnoxious for saying that,anger
i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,anger
