Text,Mood
i did there was a mental debate i can eat the food at home for dinner or i might look a bit pretentious when i help the poor kid or the kid might reject and ask for money id feel slighted and annoyed,anger
i dont know how but i forgot how to communicate with people and tell them how do i really feel forgive me if i annoyed you with the complaints,anger
i started to feel grumpy and frustrated,anger
i also feel insincere shallow and fake,anger
i feel petty for it but i think less of you as a result,anger
 You could have lent it to me   Paula said  pee,anger
i feel i ve been wronged out goes a letter,anger
i have something of a history of feeling insulted by the customer service people at best buy,anger
i feel very violent when it comes,anger
i feel more like noah is the violent j of yesterday,anger
i find myself at work bored again feeling extremely irritable,anger
i will confess that im feeling very bitter frustrated about this,anger
i feel selfish even writing this because i am truly happy for my friends,anger
i feel very frustrated when that happens to me,anger
Kisling was livid  and with the help of some friends managed to grab the sculptor and throw him down the stairwell from the seventh fl,anger
i always feel really grouchy whenever i go into my local paper shop and theyre having a huge conversation with one of the other customers at the counter makes me feel awkward when i have to and break up the conversation so i can be served,anger
i feel quite rude but we had a good old chat i love her tales of her family and her studies as a nurse,anger
i feel so disgusted with myself because i am not able to think critically,anger
i kinda feel angry and desperate,anger
i can normally see some sort of good intention behind the government s rules and regulations however this time i have been left feeling appalled confused and quite frankly worthless,anger
im feeling a bit pissed off as it seems as if i might have to reconsider my plans,anger
i must have slightly grimaced i d been at a memorial service for a dear friend s mom that day and was feeling distracted and melancholy,anger
i feel trapted in a hole and i cant seem to get out all the answers are there all the help in the world is there to get me out of that hole but my stubborn ass doesnt listen,anger
i was feeling a bit grouchy the weather had turned dour again i have a dull head cold the words were hard,anger
im feeling rather grumpy today and i dont really feel like writing to you but i promised you and myself in the beginning that i would document every single day,anger
ive been feeling very agitated with a lot of things thats going on in my life both directly and indirect mostly indirect so i fled,anger
im feeling a little jealous of you americans today,anger
i feel stressed about all the turmoil and chaos going on in our nation and the world i reach for my bible and study the courage passages,anger
i came upon the right book the feeling was violent it blew open a hole in me that made life more dangerous because i couldnt control what came through it,anger
i enjoyed being protected by you i want you to feel jealous at times i dont want it to be worrying about other girls snatching you away from me all the time,anger
i just feel the need to post this up cause i am really distracted,anger
i already feel its a vicious cycle,anger
i do feel bitter that the one who went through it all with me has little to do with activism,anger
i could feel the vile nature of the things within it,anger
i was feeling a bit rebellious so i got red highlights in my hair,anger
im spending more time and more mental and emotional energy on me and that feels selfish even though i know its necessary and even though sam and eve are enthusiastically supporting me,anger
i hear things like men were designed to protect and provide for women i feel so offended,anger
i feel slightly aggravated,anger
i feel terror as i feel the cold metal of the knife at my throat,anger
She was offended and took it all persona,anger
i feel grumpy i can walk outside and absorb the natural beauty around me in this hawaiian paradise,anger
