Text,Mood
i feel reluctant to even give a hint as to what ms,fear
i dont know why but it is so hard this sem and i am beginning to feel afraid for my results,fear
i feel about this information but i m anxious to learn more about its implications for my life as i reflect more on my results,fear
i just feel frightened in this relationship,fear
every time i imagine that someone i love or i could contact a serious illness,fear
i text you with no responses until a few hours later saying you were sleeping i can not help but to feel suspicious that i was turned down for a much more exciting time,fear
i feel skeptical on her injury as she is alright yesterday night but suffer pain only this morning,fear
im sore and feeling very unsure of how in the world i will go more miles in weeks,fear
i am feeling afraid cos he isnt answering me again,fear
im scared and you are bigger than me and i feel threatened because i am a woman and you are not and this is what ive learned to be afraid of and i made a choice that led me here but it wont be my fault so please,fear
i dont know why but i feel uncomfortable in front of people who flaunt their strength or their accomplishments,fear
i enter my house at night i do not need to feel apprehensive about anyone seeing me entering alone,fear
i dont care anymore i cry for the pain i feel of being tortured for so long,fear
i always feel suspicious when things are going this well,fear
i am just feeling so confused and my desire for success almost killing me,fear
i responded with an instant yes without considering the cons until my best friend offered one wouldn t i feel more threatened because there was the possibility of my boyfriend wandering off into the arms of another man or woman,fear
i am feeling a bit intimidated by all the fabulous designs that people are putting together,fear
i feel terrified by the sheer amount of heart wrenching love i feel for such a tiny person a tiny person who i have the responsibility of helping to become a healthy responsible kind and compassionate adult,fear
i think this entire project was designed to make me feel uncomfortable,fear
i am confident they are not going to get much better but currently i feel like this weird obligation,fear
i feel fearful of how this sensitive non confrontational driven girl will thrive as an executive in the corporate world,fear
i feel reluctant to share the information here,fear
i feel very overwhelmed because there is so much i need to do,fear
i feel like the last years of being assaulted by television that books in one year would be a major accomplishment due the to fact i can only recall maybe books that i have read cover to cover in the last years,fear
i sleep i always get up feeling reluctant and exhausted,fear
i refused one is just sit for a very long time car still dizzy condition two is its own no money money are few i also feel shy sat down usually i win probability a href http www,fear
i feel like my soul is being tortured,fear
i decided that this one lesson i had had was enough practise for me so its fair to say i was feeling slightly apprehensive walking over to the nursery slopes,fear
i feel very shaken and you know,fear
i guess i feel a little strange sharing a birth story because there is just not a lot to share,fear
i feel like there is a resetting occurring and it is uncomfortable and even painful but it is the only way for me to be healthy again,fear
im just nervous about it darn emotions that makes me feel anxious about new things,fear
i feel hesitant to say on here where i m at,fear
i look at those words i feel so reluctant to read,fear
i know is the end result that it makes me feel vulnerable and i am more willing to sacrifice to make the relationship work and i want to allot time from my busy schedule to see these people and i trust and confide in them,fear
i don t feel so frantic about it,fear
i elements vandalize a residence smile and hide the evidence no longer feeling hesitant tear away from this regiment its never been more evident in the end it sets precedence spoken text broken words spoken words broken text whats next,fear
i stopped feeling anxious,fear
i see a poor performer whom i would have ignored or even heartily appreciated before excelling in some other area where i dont have any interests i feel restless again,fear
i couldn t remember what had happened to me a few hours prior to waking up in the forest but i knew it had to be connected to why i was feeling so afraid,fear
i feel so shy right now,fear
i feel far more anxious on the road here,fear
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear
i feel so reluctant to go to sch on monday,fear
i do i start feeling pressured or something,fear
i feel like in some strange parallel universe louis shane nicole and sinitta actually is this shows judging panel,fear
i was feeling kind of nervous,fear
i woke up in the middle of the night as i had jumped and shouted with fear i thought that someones cold hand or something similar had touched my hand i crept down under the covers and went back to sleep,fear
i suddenly feel terrified that he will throw one of his spears back at me but instead he just stalks out of the building,fear
i am now feeling somewhat agitated for some reason okay maybe it s reasons,fear
i must admit that i began this conference feeling quite skeptical about the over emphasis on technology in classrooms,fear
i am going to continue on this topic in tomorrow s post and explain exactly why i feel this way and why i am so confused with god and his decisions,fear
i do not see but could feel that she is someone i am very reluctant to let go,fear
i recently found myself feeling the need to pray prayers that have scared me since i first became a christian almost two years ago now,fear
i feel pretty helpless now,fear
i really want this challenge to be a fun way for everyone to knock a few games off our backlogs without feeling pressured to reach any certain goals,fear
i feel threatened because i cant predict what you are going to do next and therefore worry that you are going to injure me,fear
i can t eat a lot of things that i am used to eating and i feel tortured when i go to the grocery store,fear
i think my feelings remix is the result of how neurotic i can be,fear
i had been on celexa for about months when i started to feel more agitated and,fear
i feel indecisive about my decision,fear
i was feeling intimidated by all that territory,fear
It emerged that  in conscious and especially in excited or agitated patients  the drug produced a remarkable state of inactivity or indifferen,fear
i would feel restless and unreasonable,fear
i feel very uncertain about things constantly,fear
i can feel my self so frightened and intimidated by this that i almost on some level give up,fear
i feel that to some extent we may be hesitant to ask because in western societies as a whole we feel an obligation to answer an ask to the affirmative,fear
i am reading whatever i want whenever i want it feels strange to finish a book or an especially thought provoking article or piece of news and move on without marking the occasion in some way,fear
i know you always feel unsure if its come to your feeling that is why at the first place the most thing that i ever afraid of is you falling for other person,fear
i might have made him feel threatened,fear
i wish i would have bought more but i was feeling indecisive and i wasnt really sure how to go about getting things cut,fear
i feel a weird temptation to prove to the world that im less spiritual than they think,fear
im feeling a little apprehensive as i embark on this new adventure,fear
i feel vulnerable because people don t know what you have been through and can be judgementa,fear
i have this feeling we might be skeptical enough to thwart them there,fear
i start to feel so restless and get a huge headache but then i snort a line and lifes good again,fear
i feel a little bashful that i dont dictate time in my schedule to clean my room and the garden as dutifully as she does,fear
i feel shy of sharing too much about it right now like its a delicate bird that hasnt taken flight,fear
i want to feel suspicious of everyone hehe itll be fun,fear
i called my sister later to ask her about something else i told her what mum and dad had said and she said she had noticed too she didnt feel alarmed thou she thought i knew i was doing it do i,fear
i am not want my heart feel tortured if i still remember everything about her,fear
i am feeling restless too,fear
i feel like a child again being afraid of the dreams my own mind create for me,fear
i seldom go myself i feel restless,fear
i am not happy in my current job even though everything is ok but i feel pressured,fear
i feel so helpless lately,fear
i feel that i have and yet i m inhibited by this ridiculous illness,fear
i feel uncertain about i am going to find things i am certain about,fear
i sent my boyfriend bobby when i was feeling particularly melodramatically helpless i miss having a home in the states and i miss my sweatshirt and i miss taco bell,fear
i do feel like the song sounds a bit weaker coming after the songs before so i m really unsure how to feel totally but it still was a great collaborative idea for these two strong vocalists,fear
i feel pressured to say yes,fear
i take english as my major in the college i still feel shy to speak english in front of the public because my classmates always tease me about my pronounciation,fear
i dont know why i just feel restless,fear
i feel startled by a lot of things but there is also a real me behind this play of life,fear
i feel overwhelmed with filling up a page and its not too small where i cant fit a x inch picture in it without having to cut it up,fear
i always feel reluctant to answer it often fills me with dread,fear
i remember feeling startled at its complexity and intricacy,fear
im feeling particularly helpless even the most simple tasks seem like mountains to overcome,fear
i had to tell someone that i was interested in remaining celibate and alone and that my spiritual master strictly prohibited sexual relations outside of marriage this caused great fear through lack of conviction afraid to hurt someones feelings despite my own being hurt in the process,fear
i then continued along what was left of the ridge but i was having too really concentrate so hard on parts i would normally run over i was feeling really unsure about myself on my feet,fear
i am feeling uptight or things aren t going the way i want i tend to step back and take a break,fear
i could really feel the sadness as he gripped onto the snipped hair firmly reluctant for her to go but knowing that she has to,fear
i feel the need to get thoughts out yet am hesitant to do so,fear
i still feel unsure and a little out of practice,fear
i feel anxious upset or angry,fear
im just chilling in my room listening to music feeling apprehensive,fear
