Text,Mood
bingofuel My lil old Mac did the same thingand it was never to charge again,neutral
still shopping and looking for shoes now,neutral
I wanna go to the extra show really bad,neutral
Just got stung by nettles lol in about 3 fingers  and I mean come on that dude with the apples needed to step it up a notch,neutral
Just saw a dark burgundy Scion xB That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost,neutral
I have that Friday feeling though  I am working tomorrow,neutral
On my way to school,neutral
jenniferdodd i do show some discretion occasionally,neutral
Sneaking out Going to work for a friend,neutral
round 2,neutral
Video Todayï¿½s video blogvlogï¿½thing  httptumblrcomxye1ph36b,neutral
posting my first tweet,neutral
JodieGiese yeah there was definitely a pillow fight,neutral
jonpaulkaiser love the stuff he sell you should help this guy with his logo and shop  its kinda Wordart,neutral
HypeDaGreat Oh ok Iquotm  work so no playing for me til later  lol,neutral
KristySlater this has been like the never ending storyall I seem to be doing is packing and now unpacking Soon over great here,neutral
okay really really bored i watched a michael jackson concert from 1992 hes awesome  and his short films r coolio too ,neutral
im gonna eat some chips anybody want some hahaha,neutral
looking for my littlest tsutsu,neutral
talkshow with Larry then Cage,neutral
I dont wanna work,neutral
Kacey3 I didnt read the details so that may be it Sara Jayne is a kids show so it cant be that exciting,neutral
meldrum83 kids will not eat salad so they getting crisps only salad for me and mr can make his bloody own,neutral
Postcrash Spotlight is now spinning its wheels indexing my Time Machine backup drive Naturally the drive is in the quotdo not indexquot list,neutral
megspptc BJoie Yeah what Megs saidwhen the After Block Party is ovah,neutral
DarrenRuane Hey Its so funny  I stopped to get a coffee on the way in and spilt half of it in the car,neutral
TechBabe Ill put your name on the list,neutral
Melancthe that depends on how many ittybittykitties want to sit on my lap,neutral
jessca86 on iPhone Soon theyre adding autofill on logins so you wont have to type it all out everytime,neutral
Laptops thrown a paddy So bouncing half of my live set down as wavs  need a new laptop and a new copy of ableton hey ho MTFBWY,neutral
Oky So the grandperents just went out cause my Granda is going to drive  he missed it when he was in hostipal,neutral
AndrewRatcliffe  they certainly warmed mine,neutral
Packing up my desk,neutral
julieposetti Nice reference to LM program in How Journalists Are Using Twitter in Australia but no mention of me   httpbitlyJwuZL,neutral
off to collect a tv I acquired from freecycle,neutral
sophielovemcfly i see 5 faces in that thing but no more  xx,neutral
JennLovesM5 TDLQ awwwww im such a scifi geek and StarWars is the TEN COMMANDMENTS for us geeks,neutral
Follow Dirtyjoe hes cool,neutral
becoi twitter eh chato mas vicia,neutral
cant sleep so im watching some more Gilmore Girls,neutral
About to hit the hay who came up with that goodnight world and all those who inhabit it,neutral
Back in Spain,neutral
Lieneve aint got any at the moment sorry,neutral
radha Oh please mark all toe tweets with toe fossiloflife is trying to make trening topic out of toe,neutral
jamesramya Yes because those taxes disguise the booking fees and commissions that online travel portals charge Try iXiGOcom next time,neutral
wishes the rain would stop so my stupid headache would go away,neutral
Lexy add me here I cant locate your handle for whatever reason,neutral
janelleyo Wish we could deliver alcohol but state law prohibits us,neutral
keza34 ok babe gotta go back to work tweet you later,neutral
I am tracking with Heather Hayes today thats right the daughter of Isaac Hayes aka SHAFT aka Chef on southpark     JJ KILLA,neutral
MegMegMeg123 I ran out of spacehugging Jacob and Edward is just by himself,neutral
nto looking forward to visiting my unc in hospital tomorrow,neutral
wants Friday to come quick I want my beauty sleep and shopping,neutral
Just wants to stay in bed all day but has to go to work instead  sux,neutral
damohopo but thats 7 weeks away  Im sure we got by only tweeting at night before,neutral
AndreasHale lol nah no swine flu for me bro lmao whats ur schedule like this week I need to catch up,neutral
living in ballarat again,neutral
greghtdh Can you install ruby gems and rails on keep Please,neutral
TwiztidRose Im digging your twitter picture,neutral
im at school right now,neutral
flybabymoni Well the one thing where you lay on the floor I couldnt do all of themIm very out of shape,neutral
reading Evermore by Lynn Viehl,neutral
wendilynnmakeup Good Morning Its been a while since Ive quottalkedquot to you    Keep up the awesome tweets,neutral
melkoo Hi Mel if you feel unhappy just take a bit of fries but dont overdo  If can help it dont,neutral
Going to settle down and watch Sisterhood Of The Traveling Pants 2 Just had a two Mars Bars  but YUM,neutral
Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,neutral
hmm i dont know what to do todaycause im done with schooland it feels great,neutral
productive day 1,neutral
Danderma always be your self and thing will go on without no problem and do you even try hard to be your self  Just be and smile,neutral
nsingman haha  yes theres a lot to be said for nekkid religion,neutral
Peter5tewart yeah I left cause my pc cant run the client anymore I had thought I would have a new one by now,neutral
I want to go see Up,neutral
checkin twitter out,neutral
East Coast almost wakeup time for military,neutral
PheenX crud is all I can say,neutral
THAREALYUKMOUTH Id Love to work with you httpmyspacecominikco  Tell ur friends to follow me,neutral
enterbelladonna hah i knew i didnt have a chance,neutral
Okay one of my ears popped so now I know what everything sounds like and everything is reall loud,neutral
Happy Mothers Day to all the Moms  Its a tough job but totally worth it,neutral
MSMyPhone I need a code,neutral
Browsing  find everything about university amp interior design,neutral
i hate not being able to twitterize on my cell phone  oh well,neutral
IBGPN nobobys behind I think I lead with 148 so far,neutral
I think Im going to the movies tonight with Oda,neutral
Starting some work on final year project Just making some test pieces in flash to see how things could work Listning to iPod too,neutral
I forgot I moved 100 eastmake that 8 hours home,neutral
wants to meet Bill,neutral
Goodnight world I have t o be up at 5am,neutral
lilmarshmellow 1 pm,neutral
Biology final today Then home to prepare for psychology,neutral
8bitBass man if you gotta whip it you gotta whip it,neutral
Disneyland was a blast yesterday now back to work,neutral
Just finished watching Star Trek in IMAX   Couldve watched it all night   Live long and prosper,neutral
chaoticbarb Thanks  sigjeans,neutral
waiting on food,neutral
so very thankful for her MOM,neutral
httpbitly5pBLz  for McCoys initial rant,neutral
Kind of tired of poopy puppy patrolwho knew two lil doggies could make so much umwaste They are super cute though,neutral
Candis04 Hey Candis,neutral
watchin Gilmore Girlz,neutral
richardbsmith glad you liked the quote Integrity  it was in one of my more productive moments,neutral
chelemodica i wish 255 i Corning NY 256 in Ottawa and 253 in Corning NY a few years later its only a matter of time,neutral
mvermut translation  complicated sht that someone is going to have to teach me,neutral
There is one million people  the DMV today,neutral
disappointed she didnt win teh glassez,neutral
DavidArchie if there is a tesco nearby then go there,neutral
ElizaPatricia Tuesday any other day long as we still get to watch,neutral
Going to bed no plans for tomorrow just hanging around  Good night people lt3,neutral
MsAKAtainment I know right  but hopefully something comes up though,neutral
christay0102 that sounds awesome,neutral
cdlowell Jars was gonna be my answer,neutral
Got a sunburn from Coney Island bike ride,neutral
ImagesAndWords or so a month I put my 2 weeks notice in a little over a week ago my last day is this friday,neutral
anyone got an FFE account if so add me,neutral
I get the feeling kris0614 is going to make me wait until I get home to tell me Im denied vittles from BWW,neutral
angellr Busy but fantastic Tried to unplug for a few days   Thank you for the FF,neutral
Dogfaeries yes please,neutral
Looking at the pix from dbuc09  seems like everyone was doing good stuff  almost wish I wasnt in Nice at the time,neutral
ChiefEditor4SAU Thanks For The Follow,neutral
akarshsimha Started using the branch,neutral
angusups Just seeing if anyone was still awake,neutral
Control which tweets u post on Facebook by using a hashtag check out this awesome easy app  httpappsfacebookcomselectivetwitter,neutral
ah good idea library seems to work  thats why im not there obviously,neutral
starting twitter,neutral
I have a headache and its not going away,neutral
ddlovato today quotsonny with a chancequot came to brazil i loved it youre amazing lt33 please reply,neutral
anyone remember those izone cameras Well i still have mine Pretty rad,neutral
rodcub They know no bounds,neutral
jimmylala id rather find out from experience  but where are the stories,neutral
says headache  httpplurkcompwydaf,neutral
17 things to do the last thing on my mind is cleaning up everyones cake mess,neutral
WhoaOhNo I know i know  hugs,neutral
KGWSunrise I missed you guys this morning Im in Tacoma w no KGW to start my day,neutral
willxxmobb work at 6am Gotta go to bed soon,neutral
httpyfrogcom0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,neutral
Tiffers62 thanks 6 lbs in 3 weeks,neutral
tommcfly tom do u have plans to germany  answer this for ur germany fas,neutral
gettothefalcon i miss that too,neutral
Oh these are all from wwwoverheardinlondoncouk The others were from the New York version,neutral
beverlykidd also happy mothers day,neutral
jjujuu yeah i did,neutral
Falcon1991 Link ,neutral
yard house too packed Three people deep at bar went to pf changsgot right in,neutral
Hello to all my new followers    say hi  me so i can say its nice to meet you too,neutral
