Text,Mood
purelydistel Maybe u have natural ability for languages  I envy u on that ,worry
Burned my pinky  great way to start my weekend thats gonna suck anyway,worry
httptwitpiccom4jeij  New forest hoping the walk would lose me some pounds,worry
Have been feeling very sick    had day off today ARRRGH,worry
Printing from Opera gives me a much better result but printing to PDF it names it stdinpdf  always gotta compromise,worry
Not feeling all that well today,worry
I have so much stuff in my car that I can just feel my MPG going in the toilet,worry
Just tried an energy drink to report back for you guys and im sweating and have the worst cramps I want to lie down,worry
feels very very rough,worry
Good Morning campers Im not a happy bear this morning had an awful dream during the night amp am v worried,worry
yup def swine flu I think it was the sausage,worry
but I am one in a million,worry
pokeyp I saw that you were calling but cannot answer as Im in the second hour of a phone convo with my mom and she wont stop talking,worry
So sorry if ive been typing wrongly usually after ive typed something i wont read ill just press the enter button,worry
A sweltering afternoon no wonder the creepy slithering snakes are heading to the creek The nasty things can swim Frightening detail,worry
My Head Feels Like Its Going To Explode,worry
Been 2 years and m still devistated that they knocked down my old primary school,worry
iRobC Its a an MK mentalityI think,worry
dunno where to start so many things to do,worry
Scarfresh i want u to know i dont like u hun  jp u know we go back,worry
Hey Fused Gaming FusedGaming Forums have been delayed until 9PM PT12AM ET tonight sorry   abean2007 live gt httpustream1ntp,worry
wish i was going to prom  oh wellgoing to go wish my girls good luck then going to good oll APPLEBEES yumm,worry
ArlenesUniverse I have tried He doesnt want to listen I dont know what to do anymore I just feel like HE doesnt care anymore,worry
Moving office tomorrow after 3 years at this one its a sad day,worry
AgingBackwards I use to own a 32 lbs tabby cat Got him for North Shore Animal league he had diabetes,worry
from seeing all my koreans buisnesses failing,worry
poinktoinkdoink He died  Wait what about Magic Jack I just read it,worry
Just spent more than 45 minutes looking at the Aud,worry
Being tall has its ups and downs  my legs are in pain,worry
justkappa hey there hunny I have missed you No callsor emails,worry
GetReadySetGo thanks  Im a fabric addict lately  Ive bought soooo much,worry
Im so worried about my sisters guinea pig I hope Stalin makes it through tonight  you can do it baby,worry
Do you wanna talk,worry
Cant sleepso Im watching HGTV Im afraid infomercials are about to take over,worry
coliwilso  not much blipping lately but ill get onto that for you,worry
oops ignore last post  meant to be a direct message,worry
WilAnderson your tweets were awesome  fuck the heat Thats what dencorub is for,worry
Answering detailed questions via Twitter can be very difficult Its a challange to get everything in to less than 140 charactres,worry
I tell him today S its his last day,worry
Its beautiful outside The sun is shining the birds are singing and I Im studying  Wish it were already vacation,worry
Trying to revise Environmental Studies and write my personal statement at the same time is really hard,worry
Ate Mandy please forgive me I really am sorry I dont wanna lose my Bff,worry
Well I did run over a cat today I know how sad I cried and screamed my lungs out I felt HORRIBLE poor thing,worry
SimplyRe A week away from 21 huh So what do you wanna sip on  I got cha Shhh we wont tell  Love you,worry
KaarinE Me too I need the sudden urge to do it Missing the Diplomat title,worry
can i have some followers    im so sad    NOW THAT IM LOSING HOPE pressure,worry
 thats my hair guys oh dip i gotta go  onee two minits leff   ,worry
Late2thePartee feeling any better hon,worry
super hungry Dominos or martabak both tempting and fattening,worry
Overthought tying my shoe couldnt figure it out for a while,worry
MrTomHill Thank a yoou  how are you TwitterTakeover,worry
So tired and I have work at 5pm  fb,worry
karamcdowell Im sorry that stinks,worry
Seeing people today made me realize I really miss someone But I also miss my grandpa hes been gone 17 years  oh but my moms mamagra ,worry
graduation is done  im a little sad anyone want to hang out,worry
Looking for a new laptop battery Why are they so expensive,worry
Listening to music Texting  umm Msn lol  bit bored  lol Garth Brooks wooo i love him hehe  lt3,worry
michaelbolton Yesmet Jon last yr at an interesting quotQuestionning Agilequot Agile 2008 session  Dont see him on this yrs schedule,worry
httptwitpiccom66xjl  An hour in the sun turned me into a blancmange Sucks to be pale,worry
what am l doing nothing much atm,worry
ddrdiva laurapasik that70sgrl Ive always been a ppl person just hid behind bad self confidence for 2 long  u can do anything,worry
Poor DS is in bed with 1008 fever  he wont be able to walk in Relay for Life tonight  feel so bad for him hes so sad,worry
ahhh fusterated,worry
Sad that david is leaving tomoro for a week,worry
workingmoms thanks he got hurt Wednesday and going to vets today,worry
meow a week ago today sevilla90 was here and we were road trippin,worry
youmeatsix haha i love the auditions new album,worry
why the hell is youtube not working  NO NO  NO NO   NO  NO NO NNO NO,worry
damohopo no not proper my dog barks too much amp jumps up amp its all my fault for not being strict enough,worry
F1TailPipecom Thanks,worry
wants to eat an entire chocolate cheesecake,worry
kouzrah etherreal WAS my main preoccupation Now its EtherREALs preoccupation humm me  schizophrenic ,worry
Being attacked with cola all sticky,worry
im actually starting to quite like lily allen and her music to be honest,worry
NO MORE MSHS Gotta go to worktoo tired,worry
i think my cold is getting worse not better  i cant stop coughing  it really sucks,worry
jsie We got out there and the cafe was booked solid LOL Doesnt matter  Mum got some plants anyway,worry
drewryanscott I would be there But I live across the country,worry
Michael Porter is haunting me again Ugh The five forces But I dont remember the other 9 strategies for competitive advantage,worry
Cant seem to sleep tonight Its 338am I need to get up in less than 4 hours,worry
FML I hate CSS SO BAD I cant find an lj layout that has everything I want,worry
BayoArigbon what you took your bracket off  And now its time for bed ,worry
MyInnerTricia it is gayu have dissappointed me that past few days,worry
sarahlchu  poor you lmao just stick your head out the window,worry
Lol I mean hey Thats mean,worry
getting ready for work boohoohoo i dont wanna go to work,worry
Just got off phone with Black Swamp Bird Observatory  No reports of Connecticut Warbler from Metzger or Magee today,worry
